Date : 2023-04-28 10:39:20
Directory : d:\HCMUT\HK222\CSE_project\Back_end
Total : 124 files,  11930 codes, 182 comments, 278 blanks, all 12390 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\middlewares                                                                 |          3 |         23 |          0 |          9 |         32 |
| src\models                                                                      |          6 |        144 |          1 |         22 |        167 |
| src\providers                                                                   |          1 |         99 |          2 |         11 |        112 |
| src\record                                                                      |          2 |          6 |          0 |          0 |          6 |
| src\repositories                                                                |          5 |        169 |          6 |         30 |        205 |
| src\routes                                                                      |          4 |         27 |          2 |         12 |         41 |
| src\services                                                                    |          5 |        247 |         10 |         24 |        281 |
| src\utils                                                                       |          3 |         66 |          2 |         15 |         83 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                        | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\HCMUT\HK222\CSE_project\Back_end\.eslintrc.json                              | JSON with Comments |          3 |          0 |          1 |          4 |
| d:\HCMUT\HK222\CSE_project\Back_end\.prettierrc.js                              | JavaScript         |          9 |          0 |          2 |         11 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\AdaAPI\index.js                       | JavaScript         |         22 |          1 |          1 |         24 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\config\CORS.js                        | JavaScript         |          7 |          0 |          1 |          8 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\config\deviceKeys.js                  | JavaScript         |         26 |          0 |          1 |         27 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\config\modeSetting\lighting.json      | JSON               |         12 |          0 |          1 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\config\modeSetting\soilMoisture.json  | JSON               |          1 |          0 |          0 |          1 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\config\modeSetting\temperature.json   | JSON               |         12 |          0 |          1 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\config\timeSetting.js                 | JavaScript         |          7 |          4 |          1 |         12 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\DeviceController.js       | JavaScript         |         48 |          7 |          1 |         56 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\ManualModeController.js   | JavaScript         |         27 |          1 |          1 |         29 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\SafeModeController.js     | JavaScript         |         30 |          1 |          1 |         32 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\SettingsController.js     | JavaScript         |         29 |          0 |          1 |         30 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\controllers\conditionController.js    | JavaScript         |         20 |          4 |          1 |         25 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\db\connect.js                         | JavaScript         |         19 |          0 |          1 |         20 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\errors\badRequest.js                  | JavaScript         |         14 |          0 |          1 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\errors\customErrors.js                | JavaScript         |          8 |          0 |          1 |          9 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\errors\index.js                       | JavaScript         |         14 |          0 |          1 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\errors\notFound.js                    | JavaScript         |         14 |          0 |          1 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\errors\unauthorizied.js               | JavaScript         |         14 |          0 |          1 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\index.js                              | JavaScript         |         44 |          6 |          1 |         51 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\activitylog.js             | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\ada.js                     | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\device.js                  | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\error.js                   | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\index.js                   | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\manualModeInfo.js          | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\modeSetting.js             | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\notification.js            | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\numberID.js                | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\record.js                  | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\interfaces\safeModeInfo.js            | JavaScript         |          2 |          0 |          1 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\middlewares\errorHandler.js           | JavaScript         |         14 |          0 |          1 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\middlewares\index.js                  | JavaScript         |         12 |          0 |          1 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\middlewares\notFoundHandler.js        | JavaScript         |         10 |          0 |          1 |         11 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\activityLog.js                 | JavaScript         |         30 |          0 |          1 |         31 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\consumption.js                 | JavaScript         |         21 |          1 |          1 |         23 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\device.js                      | JavaScript         |         57 |          0 |          1 |         58 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\deviceRecord.js                | JavaScript         |         25 |          1 |          1 |         27 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\index.js                       | JavaScript         |         18 |          0 |          1 |         19 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\serverRecord.js                | JavaScript         |         29 |          0 |          1 |         30 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\models\user.js                        | JavaScript         |         18 |          0 |          1 |         19 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\providers\Socket.js                   | JavaScript         |        105 |          1 |          1 |        107 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\ActivityLogRepository.js | JavaScript         |         25 |          0 |          1 |         26 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\DeviceRepository.js      | JavaScript         |         70 |          0 |          1 |         71 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\ManualModeRepository.js  | JavaScript         |         39 |          1 |          1 |         41 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\SafeModeRepository.js    | JavaScript         |         38 |          1 |          1 |         40 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\ServerRecord.js          | JavaScript         |         28 |          0 |          1 |         29 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\SettingsRepository.js    | JavaScript         |         46 |          1 |          1 |         48 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\repositories\condtionRepository.js    | JavaScript         |         19 |          0 |          1 |         20 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\routes\conditions.js                  | JavaScript         |         10 |          2 |          1 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\routes\devices.js                     | JavaScript         |         12 |          0 |          1 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\routes\index.js                       | JavaScript         |         14 |          0 |          1 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\routes\manualMode.js                  | JavaScript         |         10 |          1 |          1 |         12 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\routes\safeMode.js                    | JavaScript         |         10 |          1 |          1 |         12 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\routes\settings.js                    | JavaScript         |         11 |          0 |          1 |         12 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\services\ActivityLoggingService.js    | JavaScript         |         21 |          1 |          1 |         23 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\services\AutoIrrigationOperation.js   | JavaScript         |         89 |          5 |          1 |         95 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\services\ConditionService.js          | JavaScript         |         15 |          0 |          1 |         16 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\services\DevicesService.js            | JavaScript         |         47 |          3 |          1 |         51 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\services\ServerRecordService.js       | JavaScript         |         46 |          1 |          1 |         48 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\utils\date.js                         | JavaScript         |         21 |          0 |          1 |         22 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\utils\httpRequestAda.js               | JavaScript         |         33 |          1 |          1 |         35 |
| d:\HCMUT\HK222\CSE_project\Back_end\build\utils\readFileJson.js                 | JavaScript         |         30 |          1 |          1 |         32 |
| d:\HCMUT\HK222\CSE_project\Back_end\package-lock.json                           | JSON               |      9,353 |          0 |          1 |      9,354 |
| d:\HCMUT\HK222\CSE_project\Back_end\package.json                                | JSON               |         44 |          0 |          1 |         45 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\AdaAPI\index.ts                         | TypeScript         |         21 |          1 |          5 |         27 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\config\CORS.ts                          | TypeScript         |          6 |          0 |          3 |          9 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\config\deviceKeys.ts                    | TypeScript         |         23 |          0 |          3 |         26 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\config\modeSetting\lighting.json        | JSON               |         13 |          0 |          0 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\config\modeSetting\soilMoisture.json    | JSON               |         13 |          0 |          0 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\config\modeSetting\temperature.json     | JSON               |         13 |          0 |          0 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\config\timeSetting.ts                   | TypeScript         |          4 |          4 |          4 |         12 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\controllers\ConditionController.ts      | TypeScript         |         16 |          4 |          5 |         25 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\controllers\DeviceController.ts         | TypeScript         |         45 |          8 |          8 |         61 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\controllers\SettingsController.ts       | TypeScript         |         25 |          0 |          5 |         30 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\db\connect.ts                           | TypeScript         |         14 |          0 |          3 |         17 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\errors\badRequest.ts                    | TypeScript         |         10 |          0 |          3 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\errors\customErrors.ts                  | TypeScript         |          6 |          0 |          2 |          8 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\errors\index.ts                         | TypeScript         |          4 |          0 |          1 |          5 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\errors\notFound.ts                      | TypeScript         |         10 |          0 |          3 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\errors\unauthorizied.ts                 | TypeScript         |         10 |          0 |          3 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\index.ts                                | TypeScript         |         38 |          6 |          8 |         52 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\activitylog.ts               | TypeScript         |          7 |          0 |          2 |          9 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\ada.ts                       | TypeScript         |         16 |          0 |          4 |         20 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\device.ts                    | TypeScript         |         17 |          0 |          3 |         20 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\error.ts                     | TypeScript         |          6 |          0 |          2 |          8 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\index.ts                     | TypeScript         |          8 |          0 |          1 |          9 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\manualModeInfo.ts            | TypeScript         |          5 |          0 |          2 |          7 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\modeSetting.ts               | TypeScript         |         13 |          0 |          2 |         15 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\notification.ts              | TypeScript         |          5 |          0 |          2 |          7 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\numberID.ts                  | TypeScript         |          4 |          0 |          2 |          6 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\record.ts                    | TypeScript         |          8 |          0 |          2 |         10 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\interfaces\safeModeInfo.ts              | TypeScript         |          6 |          0 |          2 |          8 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\middlewares\errorHandler.ts             | TypeScript         |         10 |          0 |          3 |         13 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\middlewares\index.ts                    | TypeScript         |          7 |          0 |          3 |         10 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\middlewares\notFoundHandler.ts          | TypeScript         |          6 |          0 |          3 |          9 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\models\activityLog.ts                   | TypeScript         |         25 |          0 |          3 |         28 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\models\consumption.ts                   | TypeScript         |         16 |          1 |          3 |         20 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\models\device.ts                        | TypeScript         |         53 |          0 |          3 |         56 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\models\index.ts                         | TypeScript         |         13 |          0 |          3 |         16 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\models\serverRecord.ts                  | TypeScript         |         24 |          0 |          7 |         31 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\models\user.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\providers\Socket.ts                     | TypeScript         |         99 |          2 |         11 |        112 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\record\activity.json                    | JSON               |          3 |          0 |          0 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\record\serverRecord.json                | JSON               |          3 |          0 |          0 |          3 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\ActivityLogRepository.ts   | TypeScript         |         21 |          1 |          5 |         27 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\CondtionRepository.ts      | TypeScript         |         15 |          1 |          4 |         20 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\DeviceRepository.ts        | TypeScript         |         61 |          1 |         10 |         72 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\ServerRecord.ts            | TypeScript         |         24 |          1 |          5 |         30 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\repositories\SettingsRepository.ts      | TypeScript         |         48 |          2 |          6 |         56 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\routes\conditions.ts                    | TypeScript         |          5 |          2 |          3 |         10 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\routes\devices.ts                       | TypeScript         |          7 |          0 |          3 |         10 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\routes\index.ts                         | TypeScript         |          9 |          0 |          3 |         12 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\routes\settings.ts                      | TypeScript         |          6 |          0 |          3 |          9 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\services\ActivityLoggingService.ts      | TypeScript         |         16 |          1 |          4 |         21 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\services\AutoIrrigationOperation.ts     | TypeScript         |        144 |          5 |          8 |        157 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\services\ConditionService.ts            | TypeScript         |          8 |          0 |          2 |         10 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\services\DevicesService.ts              | TypeScript         |         40 |          3 |          4 |         47 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\services\ServerRecordService.ts         | TypeScript         |         39 |          1 |          6 |         46 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\utils\date.ts                           | TypeScript         |         14 |          0 |          4 |         18 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\utils\httpRequestAda.ts                 | TypeScript         |         29 |          1 |          7 |         37 |
| d:\HCMUT\HK222\CSE_project\Back_end\src\utils\readFileJson.ts                   | TypeScript         |         23 |          1 |          4 |         28 |
| d:\HCMUT\HK222\CSE_project\Back_end\tsconfig.json                               | JSON with Comments |         11 |         90 |          9 |        110 |
| Total                                                                           |                    |     11,930 |        182 |        278 |     12,390 |
+---------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
